model,blocked_cv_mean,blocked_cv_std,shuffled_cv_mean,shuffled_cv_std,holdout_test_accuracy
LDA,0.40758098726918757,0.12234670448721904,0.6470582770515471,0.0063343609484951225,0.2691151919866444
KNN (k=1),0.5003979797499936,0.10675361943552904,0.9728125233682681,0.0036861375420257064,0.5131886477462437
PCA→LDA (n=3),0.41043143651176967,0.08268248906431329,0.5574379316806415,0.014695163960585537,0.5479131886477463
PCR (n=2),0.40791585400077945,0.1300522668301221,0.5528219718463505,0.008667357952209014,0.12687813021702837
